path,value
/SOL_MUR/blobs/blob20/v,0
/SOL_MUR/blobs/blob21/id,0
/SOL_MUR/blobs/blob21/tx,-4
/SOL_MUR/blobs/blob21/ty,-3.125
/SOL_MUR/blobs/blob21/u,-0.18212825059890747
/SOL_MUR/blobs/blob21/v,0
/SOL_MUR/blobs/blob22/id,0
/SOL_MUR/blobs/blob22/tx,-4
/SOL_MUR/blobs/blob22/ty,-3.125
/SOL_MUR/blobs/blob22/u,-0.18212825059890747
/SOL_MUR/blobs/blob22/v,0
/SOL_MUR/blobs/blob23/id,0
/SOL_MUR/blobs/blob23/tx,-4
/SOL_MUR/blobs/blob23/ty,-3.125
/SOL_MUR/blobs/blob23/u,-0.18212825059890747
/SOL_MUR/blobs/blob23/v,0
/SOL_MUR/blobs/blob24/id,0
/SOL_MUR/blobs/blob24/tx,-4
/SOL_MUR/blobs/blob24/ty,-3.125
/SOL_MUR/blobs/blob24/u,-0.18212825059890747
/SOL_MUR/blobs/blob24/v,0
/SOL_MUR/blobs/blob25/id,0
/SOL_MUR/blobs/blob25/tx,-4
/SOL_MUR/blobs/blob25/ty,-3.125
/SOL_MUR/blobs/blob25/u,-0.18212825059890747
/SOL_MUR/blobs/blob25/v,0
/SOL_MUR/blobs/blob26/id,0
/SOL_MUR/blobs/blob26/tx,-4
/SOL_MUR/blobs/blob26/ty,-3.125
/SOL_MUR/blobs/blob26/u,-0.18212825059890747
/SOL_MUR/blobs/blob26/v,0
/SOL_MUR/blobs/blob27/id,0
/SOL_MUR/blobs/blob27/tx,-4
/SOL_MUR/blobs/blob27/ty,-3.125
/SOL_MUR/blobs/blob27/u,-0.18212825059890747
/SOL_MUR/blobs/blob27/v,0
/SOL_MUR/blobs/blob28/id,0
/SOL_MUR/blobs/blob28/tx,-4
/SOL_MUR/blobs/blob28/ty,-3.125
/SOL_MUR/blobs/blob28/u,-0.18212825059890747
/SOL_MUR/blobs/blob28/v,0
/SOL_MUR/blobs/blob29/id,0
/SOL_MUR/blobs/blob29/tx,-4
/SOL_MUR/blobs/blob29/ty,-3.125
/SOL_MUR/blobs/blob29/u,-0.18212825059890747
/SOL_MUR/blobs/blob29/v,0
/SOL_MUR/blobs/blob3/id,0
/SOL_MUR/blobs/blob3/tx,-4
/SOL_MUR/blobs/blob3/ty,-3.125
/SOL_MUR/blobs/blob3/u,-0.18212825059890747
/SOL_MUR/blobs/blob3/v,0
/SOL_MUR/blobs/blob4/id,0
/SOL_MUR/blobs/blob4/tx,-4
/SOL_MUR/blobs/blob4/ty,-3.125
/SOL_MUR/blobs/blob4/u,-0.18212825059890747
/SOL_MUR/blobs/blob4/v,0
/SOL_MUR/blobs/blob5/id,1192075
/SOL_MUR/blobs/blob5/tx,0.6902036666870117
/SOL_MUR/blobs/blob5/ty,-2.7932238578796387
/SOL_MUR/blobs/blob5/u,0.6177018880844116
/SOL_MUR/blobs/blob5/v,0.05308419466018677
/SOL_MUR/blobs/blob6/id,0
/SOL_MUR/blobs/blob6/tx,-4
/SOL_MUR/blobs/blob6/ty,-3.125
/SOL_MUR/blobs/blob6/u,-0.18212825059890747
/SOL_MUR/blobs/blob6/v,0
/SOL_MUR/blobs/blob7/id,0
/SOL_MUR/blobs/blob7/tx,-4
/SOL_MUR/blobs/blob7/ty,-3.125
/SOL_MUR/blobs/blob7/u,-0.18212825059890747
/SOL_MUR/blobs/blob7/v,0
/SOL_MUR/blobs/blob8/id,0
/SOL_MUR/blobs/blob8/tx,-4
/SOL_MUR/blobs/blob8/ty,-3.125
/SOL_MUR/blobs/blob8/u,-0.18212825059890747
/SOL_MUR/blobs/blob8/v,0
/SOL_MUR/blobs/blob9/id,0
/SOL_MUR/blobs/blob9/tx,-4
/SOL_MUR/blobs/blob9/ty,-3.125
/SOL_MUR/blobs/blob9/u,-0.18212825059890747
/SOL_MUR/blobs/blob9/v,0
/SOL_MUR/specs/Scalex,5.863999843597412
/SOL_MUR/specs/Scaley,6.25
/MUR/blobs/blob0/id,0
/MUR/blobs/blob0/tx,-4
/MUR/blobs/blob0/ty,-4.6875
/MUR/blobs/blob0/u,-0.18212825059890747
/MUR/blobs/blob0/v,-1
/MUR/blobs/blob1/id,0
/MUR/blobs/blob1/tx,-4
/MUR/blobs/blob1/ty,-4.6875
/MUR/blobs/blob1/u,-0.18212825059890747
/MUR/blobs/blob1/v,-1
/MUR/blobs/blob2/id,0
/MUR/blobs/blob2/tx,-4
/MUR/blobs/blob2/ty,-4.6875
/MUR/blobs/blob2/u,-0.18212825059890747
/MUR/blobs/blob2/v,-1
/MUR/blobs/blob3/id,0
/MUR/blobs/blob3/tx,-4
/MUR/blobs/blob3/ty,-4.6875
/MUR/blobs/blob3/u,-0.18212825059890747
/MUR/blobs/blob3/v,-1
/MUR/blobs/blob4/id,0
/MUR/blobs/blob4/tx,-4
/MUR/blobs/blob4/ty,-4.6875
/MUR/blobs/blob4/u,-0.18212825059890747
/MUR/blobs/blob4/v,-1
/MUR/blobs/blob5/id,0
/MUR/blobs/blob5/tx,-4
/MUR/blobs/blob5/ty,-4.6875
/MUR/blobs/blob5/u,-0.18212825059890747
/MUR/blobs/blob5/v,-1
/MUR/blobs/blob6/id,0
/MUR/blobs/blob6/tx,-4
/MUR/blobs/blob6/ty,-4.6875
/MUR/blobs/blob6/u,-0.18212825059890747
/MUR/blobs/blob6/v,-1
/MUR/blobs/blob7/id,0
/MUR/blobs/blob7/tx,-4
/MUR/blobs/blob7/ty,-4.6875
/MUR/blobs/blob7/u,-0.18212825059890747
/MUR/blobs/blob7/v,-1
/MUR/blobs/blob8/id,0
/MUR/blobs/blob8/tx,-4
/MUR/blobs/blob8/ty,-4.6875
/MUR/blobs/blob8/u,-0.18212825059890747
/MUR/blobs/blob8/v,-1
/MUR/blobs/blob9/id,0
/MUR/blobs/blob9/tx,-4
/MUR/blobs/blob9/ty,-4.6875
/MUR/blobs/blob9/u,-0.18212825059890747
/MUR/blobs/blob9/v,-1
/MUR/specs/Scalex,5.863999843597412
/MUR/specs/Scaley,3.125
/SOL/blobs/blob0/id,0
/SOL/blobs/blob0/tx,-4
/SOL/blobs/blob0/ty,-1.5625
/SOL/blobs/blob0/u,-0.18212825059890747
/SOL/blobs/blob0/v,0
/SOL/blobs/blob1/id,0
/SOL/blobs/blob1/tx,-4
/SOL/blobs/blob1/ty,-1.5625
/SOL/blobs/blob1/u,-0.18212825059890747
/SOL/blobs/blob1/v,0
/SOL/blobs/blob10/id,0
/SOL/blobs/blob10/tx,-4
/SOL/blobs/blob10/ty,-1.5625
/SOL/blobs/blob10/u,-0.18212825059890747
/SOL/blobs/blob10/v,0
/SOL/blobs/blob11/id,0
/SOL/blobs/blob11/tx,-4
/SOL/blobs/blob11/ty,-1.5625
/SOL/blobs/blob11/u,-0.18212825059890747
/SOL/blobs/blob11/v,0
/SOL/blobs/blob12/id,0
/SOL/blobs/blob12/tx,-4
/SOL/blobs/blob12/ty,-1.5625
/SOL/blobs/blob12/u,-0.18212825059890747
/SOL/blobs/blob12/v,0
/SOL/blobs/blob13/id,0
/SOL/blobs/blob13/tx,-4
/SOL/blobs/blob13/ty,-1.5625
/SOL/blobs/blob13/u,-0.18212825059890747
/SOL/blobs/blob13/v,0
/SOL/blobs/blob14/id,0
/SOL/blobs/blob14/tx,-4
/SOL/blobs/blob14/ty,-1.5625
/SOL/blobs/blob14/u,-0.18212825059890747
/SOL/blobs/blob14/v,0
/SOL/blobs/blob15/id,0
/SOL/blobs/blob15/tx,-4
/SOL/blobs/blob15/ty,-1.5625
/SOL/blobs/blob15/u,-0.18212825059890747
/SOL/blobs/blob15/v,0
/SOL/blobs/blob16/id,0
/SOL/blobs/blob16/tx,-4
/SOL/blobs/blob16/ty,-1.5625
/SOL/blobs/blob16/u,-0.18212825059890747
/SOL/blobs/blob16/v,0
/SOL/blobs/blob17/id,0
/SOL/blobs/blob17/tx,-4
/SOL/blobs/blob17/ty,-1.5625
/SOL/blobs/blob17/u,-0.18212825059890747
/SOL/blobs/blob17/v,0
/SOL/blobs/blob18/id,0
/SOL/blobs/blob18/tx,-4
/SOL/blobs/blob18/ty,-1.5625
/SOL/blobs/blob18/u,-0.18212825059890747
/SOL/blobs/blob18/v,0
/SOL/blobs/blob19/id,0
/SOL/blobs/blob19/tx,-4
/SOL/blobs/blob19/ty,-1.5625
/SOL/blobs/blob19/u,-0.18212825059890747
/SOL/blobs/blob19/v,0
/SOL/blobs/blob2/id,0
/SOL/blobs/blob2/tx,-4
/SOL/blobs/blob2/ty,-1.5625
/SOL/blobs/blob2/u,-0.18212825059890747
/SOL/blobs/blob2/v,0
/SOL/blobs/blob3/id,0
/SOL/blobs/blob3/tx,-4
/SOL/blobs/blob3/ty,-1.5625
/SOL/blobs/blob3/u,-0.18212825059890747
/SOL/blobs/blob3/v,0
/SOL/blobs/blob4/id,0
/SOL/blobs/blob4/tx,-4
/SOL/blobs/blob4/ty,-1.5625
/SOL/blobs/blob4/u,-0.18212825059890747
/SOL/blobs/blob4/v,0
/SOL/blobs/blob5/id,1192075
/SOL/blobs/blob5/tx,0.6902036666870117
/SOL/blobs/blob5/ty,-1.2307238578796387
/SOL/blobs/blob5/u,0.6177018880844116
/SOL/blobs/blob5/v,0.10616835951805115
/SOL/blobs/blob6/id,0
/SOL/blobs/blob6/tx,-4
/SOL/blobs/blob6/ty,-1.5625
/SOL/blobs/blob6/u,-0.18212825059890747
/SOL/blobs/blob6/v,0
/SOL/blobs/blob7/id,0
/SOL/blobs/blob7/tx,-4
/SOL/blobs/blob7/ty,-1.5625
/SOL/blobs/blob7/u,-0.18212825059890747
/SOL/blobs/blob7/v,0
/SOL/blobs/blob8/id,0
/SOL/blobs/blob8/tx,-4
/SOL/blobs/blob8/ty,-1.5625
/SOL/blobs/blob8/u,-0.18212825059890747
/SOL/blobs/blob8/v,0
/SOL/blobs/blob9/id,0
/SOL/blobs/blob9/tx,-4
/SOL/blobs/blob9/ty,-1.5625
/SOL/blobs/blob9/u,-0.18212825059890747
/SOL/blobs/blob9/v,0
/SOL/specs/Scalex,5.863999843597412
/SOL/specs/Scaley,3.125
/_samplerate,60
/SOL_MUR/blobs/blob0/id,0
/SOL_MUR/blobs/blob0/tx,-4
/SOL_MUR/blobs/blob0/ty,-3.125
/SOL_MUR/blobs/blob0/u,-0.18212825059890747
/SOL_MUR/blobs/blob0/v,0
/SOL_MUR/blobs/blob1/id,0
/SOL_MUR/blobs/blob1/tx,-4
/SOL_MUR/blobs/blob1/ty,-3.125
/SOL_MUR/blobs/blob1/u,-0.18212825059890747
/SOL_MUR/blobs/blob1/v,0
/SOL_MUR/blobs/blob10/id,0
/SOL_MUR/blobs/blob10/tx,-4
/SOL_MUR/blobs/blob10/ty,-3.125
/SOL_MUR/blobs/blob10/u,-0.18212825059890747
/SOL_MUR/blobs/blob10/v,0
/SOL_MUR/blobs/blob11/id,0
/SOL_MUR/blobs/blob11/tx,-4
/SOL_MUR/blobs/blob11/ty,-3.125
/SOL_MUR/blobs/blob11/u,-0.18212825059890747
/SOL_MUR/blobs/blob11/v,0
/SOL_MUR/blobs/blob12/id,0
/SOL_MUR/blobs/blob12/tx,-4
/SOL_MUR/blobs/blob12/ty,-3.125
/SOL_MUR/blobs/blob12/u,-0.18212825059890747
/SOL_MUR/blobs/blob12/v,0
/SOL_MUR/blobs/blob13/id,0
/SOL_MUR/blobs/blob13/tx,-4
/SOL_MUR/blobs/blob13/ty,-3.125
/SOL_MUR/blobs/blob13/u,-0.18212825059890747
/SOL_MUR/blobs/blob13/v,0
/SOL_MUR/blobs/blob14/id,0
/SOL_MUR/blobs/blob14/tx,-4
/SOL_MUR/blobs/blob14/ty,-3.125
/SOL_MUR/blobs/blob14/u,-0.18212825059890747
/SOL_MUR/blobs/blob14/v,0
/SOL_MUR/blobs/blob15/id,0
/SOL_MUR/blobs/blob15/tx,-4
/SOL_MUR/blobs/blob15/ty,-3.125
/SOL_MUR/blobs/blob15/u,-0.18212825059890747
/SOL_MUR/blobs/blob15/v,0
/SOL_MUR/blobs/blob16/id,0
/SOL_MUR/blobs/blob16/tx,-4
/SOL_MUR/blobs/blob16/ty,-3.125
/SOL_MUR/blobs/blob16/u,-0.18212825059890747
/SOL_MUR/blobs/blob16/v,0
/SOL_MUR/blobs/blob17/id,0
/SOL_MUR/blobs/blob17/tx,-4
/SOL_MUR/blobs/blob17/ty,-3.125
/SOL_MUR/blobs/blob17/u,-0.18212825059890747
/SOL_MUR/blobs/blob17/v,0
/SOL_MUR/blobs/blob18/id,0
/SOL_MUR/blobs/blob18/tx,-4
/SOL_MUR/blobs/blob18/ty,-3.125
/SOL_MUR/blobs/blob18/u,-0.18212825059890747
/SOL_MUR/blobs/blob18/v,0
/SOL_MUR/blobs/blob19/id,0
/SOL_MUR/blobs/blob19/tx,-4
/SOL_MUR/blobs/blob19/ty,-3.125
/SOL_MUR/blobs/blob19/u,-0.18212825059890747
/SOL_MUR/blobs/blob19/v,0
/SOL_MUR/blobs/blob2/id,0
/SOL_MUR/blobs/blob2/tx,-4
/SOL_MUR/blobs/blob2/ty,-3.125
/SOL_MUR/blobs/blob2/u,-0.18212825059890747
/SOL_MUR/blobs/blob2/v,0
/SOL_MUR/blobs/blob20/id,0
/SOL_MUR/blobs/blob20/tx,-4
/SOL_MUR/blobs/blob20/ty,-3.125
/SOL_MUR/blobs/blob20/u,-0.18212825059890747
/SOL_MUR/blobs/blob20/v,0
/SOL_MUR/blobs/blob21/id,0
/SOL_MUR/blobs/blob21/tx,-4
/SOL_MUR/blobs/blob21/ty,-3.125
/SOL_MUR/blobs/blob21/u,-0.18212825059890747
/SOL_MUR/blobs/blob21/v,0
/SOL_MUR/blobs/blob22/id,0
/SOL_MUR/blobs/blob22/tx,-4
/SOL_MUR/blobs/blob22/ty,-3.125
/SOL_MUR/blobs/blob22/u,-0.18212825059890747
/SOL_MUR/blobs/blob22/v,0
/SOL_MUR/blobs/blob23/id,0
/SOL_MUR/blobs/blob23/tx,-4
/SOL_MUR/blobs/blob23/ty,-3.125
/SOL_MUR/blobs/blob23/u,-0.18212825059890747
/SOL_MUR/blobs/blob23/v,0
/SOL_MUR/blobs/blob24/id,0
/SOL_MUR/blobs/blob24/tx,-4
/SOL_MUR/blobs/blob24/ty,-3.125
/SOL_MUR/blobs/blob24/u,-0.18212825059890747
/SOL_MUR/blobs/blob24/v,0
/SOL_MUR/blobs/blob25/id,0
/SOL_MUR/blobs/blob25/tx,-4
/SOL_MUR/blobs/blob25/ty,-3.125
/SOL_MUR/blobs/blob25/u,-0.18212825059890747
/SOL_MUR/blobs/blob25/v,0
/SOL_MUR/blobs/blob26/id,0
/SOL_MUR/blobs/blob26/tx,-4
/SOL_MUR/blobs/blob26/ty,-3.125
/SOL_MUR/blobs/blob26/u,-0.18212825059890747
/SOL_MUR/blobs/blob26/v,0
/SOL_MUR/blobs/blob27/id,0
/SOL_MUR/blobs/blob27/tx,-4
/SOL_MUR/blobs/blob27/ty,-3.125
/SOL_MUR/blobs/blob27/u,-0.18212825059890747
/SOL_MUR/blobs/blob27/v,0
/SOL_MUR/blobs/blob28/id,0
/SOL_MUR/blobs/blob28/tx,-4
/SOL_MUR/blobs/blob28/ty,-3.125
/SOL_MUR/blobs/blob28/u,-0.18212825059890747
/SOL_MUR/blobs/blob28/v,0
/SOL_MUR/blobs/blob29/id,0
/SOL_MUR/blobs/blob29/tx,-4
/SOL_MUR/blobs/blob29/ty,-3.125
/SOL_MUR/blobs/blob29/u,-0.18212825059890747
/SOL_MUR/blobs/blob29/v,0
/SOL_MUR/blobs/blob3/id,0
/SOL_MUR/blobs/blob3/tx,-4
/SOL_MUR/blobs/blob3/ty,-3.125
/SOL_MUR/blobs/blob3/u,-0.18212825059890747
/SOL_MUR/blobs/blob3/v,0
/SOL_MUR/blobs/blob4/id,0
/SOL_MUR/blobs/blob4/tx,-4
/SOL_MUR/blobs/blob4/ty,-3.125
/SOL_MUR/blobs/blob4/u,-0.18212825059890747
/SOL_MUR/blobs/blob4/v,0
/SOL_MUR/blobs/blob5/id,1192075
/SOL_MUR/blobs/blob5/tx,0.6822900772094727
/SOL_MUR/blobs/blob5/ty,-2.7914605140686035
/SOL_MUR/blobs/blob5/u,0.6163523197174072
/SOL_MUR/blobs/blob5/v,0.05336630344390869
/SOL_MUR/blobs/blob6/id,0
/SOL_MUR/blobs/blob6/tx,-4
/SOL_MUR/blobs/blob6/ty,-3.125
/SOL_MUR/blobs/blob6/u,-0.18212825059890747
/SOL_MUR/blobs/blob6/v,0
/SOL_MUR/blobs/blob7/id,0
/SOL_MUR/blobs/blob7/tx,-4
/SOL_MUR/blobs/blob7/ty,-3.125
/SOL_MUR/blobs/blob7/u,-0.18212825059890747
/SOL_MUR/blobs/blob7/v,0
/SOL_MUR/blobs/blob8/id,0
/SOL_MUR/blobs/blob8/tx,-4
/SOL_MUR/blobs/blob8/ty,-3.125
/SOL_MUR/blobs/blob8/u,-0.18212825059890747
/SOL_MUR/blobs/blob8/v,0
/SOL_MUR/blobs/blob9/id,0
/SOL_MUR/blobs/blob9/tx,-4
/SOL_MUR/blobs/blob9/ty,-3.125
/SOL_MUR/blobs/blob9/u,-0.18212825059890747
/SOL_MUR/blobs/blob9/v,0
/SOL_MUR/specs/Scalex,5.863999843597412
/SOL_MUR/specs/Scaley,6.25
/MUR/blobs/blob0/id,0
/MUR/blobs/blob0/tx,-4
/MUR/blobs/blob0/ty,-4.6875
/MUR/blobs/blob0/u,-0.18212825059890747
/MUR/blobs/blob0/v,-1
/MUR/blobs/blob1/id,0
/MUR/blobs/blob1/tx,-4
/MUR/blobs/blob1/ty,-4.6875
/MUR/blobs/blob1/u,-0.18212825059890747
/MUR/blobs/blob1/v,-1
/MUR/blobs/blob2/id,0
/MUR/blobs/blob2/tx,-4
/MUR/blobs/blob2/ty,-4.6875
/MUR/blobs/blob2/u,-0.18212825059890747
/MUR/blobs/blob2/v,-1
/MUR/blobs/blob3/id,0
/MUR/blobs/blob3/tx,-4
/MUR/blobs/blob3/ty,-4.6875
/MUR/blobs/blob3/u,-0.18212825059890747
/MUR/blobs/blob3/v,-1
/MUR/blobs/blob4/id,0
/MUR/blobs/blob4/tx,-4
/MUR/blobs/blob4/ty,-4.6875
/MUR/blobs/blob4/u,-0.18212825059890747
/MUR/blobs/blob4/v,-1
/MUR/blobs/blob5/id,0
/MUR/blobs/blob5/tx,-4
/MUR/blobs/blob5/ty,-4.6875
/MUR/blobs/blob5/u,-0.18212825059890747
/MUR/blobs/blob5/v,-1
/MUR/blobs/blob6/id,0
/MUR/blobs/blob6/tx,-4
/MUR/blobs/blob6/ty,-4.6875
/MUR/blobs/blob6/u,-0.18212825059890747
/MUR/blobs/blob6/v,-1
/MUR/blobs/blob7/id,0
/MUR/blobs/blob7/tx,-4
/MUR/blobs/blob7/ty,-4.6875
/MUR/blobs/blob7/u,-0.18212825059890747
/MUR/blobs/blob7/v,-1
/MUR/blobs/blob8/id,0
/MUR/blobs/blob8/tx,-4
/MUR/blobs/blob8/ty,-4.6875
/MUR/blobs/blob8/u,-0.18212825059890747
/MUR/blobs/blob8/v,-1
/MUR/blobs/blob9/id,0
/MUR/blobs/blob9/tx,-4
/MUR/blobs/blob9/ty,-4.6875
/MUR/blobs/blob9/u,-0.18212825059890747
/MUR/blobs/blob9/v,-1
/MUR/specs/Scalex,5.863999843597412
/MUR/specs/Scaley,3.125
/SOL/blobs/blob0/id,0
/SOL/blobs/blob0/tx,-4
/SOL/blobs/blob0/ty,-1.5625
/SOL/blobs/blob0/u,-0.18212825059890747
/SOL/blobs/blob0/v,0
/SOL/blobs/blob1/id,0
/SOL/blobs/blob1/tx,-4
/SOL/blobs/blob1/ty,-1.5625
/SOL/blobs/blob1/u,-0.18212825059890747
/SOL/blobs/blob1/v,0
/SOL/blobs/blob10/id,0
/SOL/blobs/blob10/tx,-4
/SOL/blobs/blob10/ty,-1.5625
/SOL/blobs/blob10/u,-0.18212825059890747
/SOL/blobs/blob10/v,0
/SOL/blobs/blob11/id,0
/SOL/blobs/blob11/tx,-4
/SOL/blobs/blob11/ty,-1.5625
/SOL/blobs/blob11/u,-0.18212825059890747
/SOL/blobs/blob11/v,0
/SOL/blobs/blob12/id,0
/SOL/blobs/blob12/tx,-4
/SOL/blobs/blob12/ty,-1.5625
/SOL/blobs/blob12/u,-0.18212825059890747
/SOL/blobs/blob12/v,0
/SOL/blobs/blob13/id,0
/SOL/blobs/blob13/tx,-4
/SOL/blobs/blob13/ty,-1.5625
/SOL/blobs/blob13/u,-0.18212825059890747
/SOL/blobs/blob13/v,0
/SOL/blobs/blob14/id,0
/SOL/blobs/blob14/tx,-4
/SOL/blobs/blob14/ty,-1.5625
/SOL/blobs/blob14/u,-0.18212825059890747
/SOL/blobs/blob14/v,0
/SOL/blobs/blob15/id,0
/SOL/blobs/blob15/tx,-4
/SOL/blobs/blob15/ty,-1.5625
/SOL/blobs/blob15/u,-0.18212825059890747
/SOL/blobs/blob15/v,0
/SOL/blobs/blob16/id,0
/SOL/blobs/blob16/tx,-4
/SOL/blobs/blob16/ty,-1.5625
/SOL/blobs/blob16/u,-0.18212825059890747
/SOL/blobs/blob16/v,0
/SOL/blobs/blob17/id,0
/SOL/blobs/blob17/tx,-4
/SOL/blobs/blob17/ty,-1.5625
/SOL/blobs/blob17/u,-0.18212825059890747
/SOL/blobs/blob17/v,0
/SOL/blobs/blob18/id,0
/SOL/blobs/blob18/tx,-4
/SOL/blobs/blob18/ty,-1.5625
/SOL/blobs/blob18/u,-0.18212825059890747
/SOL/blobs/blob18/v,0
/SOL/blobs/blob19/id,0
/SOL/blobs/blob19/tx,-4
/SOL/blobs/blob19/ty,-1.5625
/SOL/blobs/blob19/u,-0.18212825059890747
/SOL/blobs/blob19/v,0
/SOL/blobs/blob2/id,0
/SOL/blobs/blob2/tx,-4
/SOL/blobs/blob2/ty,-1.5625
/SOL/blobs/blob2/u,-0.18212825059890747
/SOL/blobs/blob2/v,0
/SOL/blobs/blob3/id,0
/SOL/blobs/blob3/tx,-4
/SOL/blobs/blob3/ty,-1.5625
/SOL/blobs/blob3/u,-0.18212825059890747
/SOL/blobs/blob3/v,0
/SOL/blobs/blob4/id,0
/SOL/blobs/blob4/tx,-4
/SOL/blobs/blob4/ty,-1.5625
/SOL/blobs/blob4/u,-0.18212825059890747
/SOL/blobs/blob4/v,0
/SOL/blobs/blob5/id,1192075
/SOL/blobs/blob5/tx,0.6822900772094727
/SOL/blobs/blob5/ty,-1.228960394859314
/SOL/blobs/blob5/u,0.6163523197174072
/SOL/blobs/blob5/v,0.10673266649246216
/SOL/blobs/blob6/id,0
/SOL/blobs/blob6/tx,-4
/SOL/blobs/blob6/ty,-1.5625
/SOL/blobs/blob6/u,-0.18212825059890747
/SOL/blobs/blob6/v,0
/SOL/blobs/blob7/id,0
/SOL/blobs/blob7/tx,-4
/SOL/blobs/blob7/ty,-1.5625
/SOL/blobs/blob7/u,-0.18212825059890747
/SOL/blobs/blob7/v,0
/SOL/blobs/blob8/id,0
/SOL/blobs/blob8/tx,-4
/SOL/blobs/blob8/ty,-1.5625
/SOL/blobs/blob8/u,-0.18212825059890747
/SOL/blobs/blob8/v,0
/SOL/blobs/blob9/id,0
/SOL/blobs/blob9/tx,-4
/SOL/blobs/blob9/ty,-1.5625
/SOL/blobs/blob9/u,-0.18212825059890747
/SOL/blobs/blob9/v,0
/SOL/specs/Scalex,5.863999843597412
/SOL/specs/Scaley,3.125
/_samplerate,60
/SOL_MUR/blobs/blob0/id,0
/SOL_MUR/blobs/blob0/tx,-4
/SOL_MUR/blobs/blob0/ty,-3.125
/SOL_MUR/blobs/blob0/u,-0.18212825059890747
/SOL_MUR/blobs/blob0/v,0
/SOL_MUR/blobs/blob1/id,0
/SOL_MUR/blobs/blob1/tx,-4
/SOL_MUR/blobs/blob1/ty,-3.125
/SOL_MUR/blobs/blob1/u,-0.18212825059890747
/SOL_MUR/blobs/blob1/v,0
/SOL_MUR/blobs/blob10/id,0
/SOL_MUR/blobs/blob10/tx,-4
/SOL_MUR/blobs/blob10/ty,-3.125
/SOL_MUR/blobs/blob10/u,-0.18212825059890747
/SOL_MUR/blobs/blob10/v,0
/SOL_MUR/blobs/blob11/id,0
/SOL_MUR/blobs/blob11/tx,-4
/SOL_MUR/blobs/blob11/ty,-3.125
/SOL_MUR/blobs/blob11/u,-0.18212825059890747
/SOL_MUR/blobs/blob11/v,0
/SOL_MUR/blobs/blob12/id,0
/SOL_MUR/blobs/blob12/tx,-4
/SOL_MUR/blobs/blob12/ty,-3.125
/SOL_MUR/blobs/blob12/u,-0.18212825059890747
/SOL_MUR/blobs/blob12/v,0
/SOL_MUR/blobs/blob13/id,0
/SOL_MUR/blobs/blob13/tx,-4
/SOL_MUR/blobs/blob13/ty,-3.125
/SOL_MUR/blobs/blob13/u,-0.18212825059890747
/SOL_MUR/blobs/blob13/v,0
/SOL_MUR/blobs/blob14/id,0
/SOL_MUR/blobs/blob14/tx,-4
/SOL_MUR/blobs/blob14/ty,-3.125
/SOL_MUR/blobs/blob14/u,-0.18212825059890747
/SOL_MUR/blobs/blob14/v,0
/SOL_MUR/blobs/blob15/id,0
/SOL_MUR/blobs/blob15/tx,-4
/SOL_MUR/blobs/blob15/ty,-3.125
/SOL_MUR/blobs/blob15/u,-0.18212825059890747
/SOL_MUR/blobs/blob15/v,0
/SOL_MUR/blobs/blob16/id,0
/SOL_MUR/blobs/blob16/tx,-4
/SOL_MUR/blobs/blob16/ty,-3.125
/SOL_MUR/blobs/blob16/u,-0.18212825059890747
/SOL_MUR/blobs/blob16/v,0
/SOL_MUR/blobs/blob17/id,0
/SOL_MUR/blobs/blob17/tx,-4
/SOL_MUR/blobs/blob17/ty,-3.125
/SOL_MUR/blobs/blob17/u,-0.18212825059890747
/SOL_MUR/blobs/blob17/v,0
/SOL_MUR/blobs/blob18/id,0
/SOL_MUR/blobs/blob18/tx,-4
/SOL_MUR/blobs/blob18/ty,-3.125
/SOL_MUR/blobs/blob18/u,-0.18212825059890747
/SOL_MUR/blobs/blob18/v,0
/SOL_MUR/blobs/blob19/id,0
/SOL_MUR/blobs/blob19/tx,-4
/SOL_MUR/blobs/blob19/ty,-3.125
/SOL_MUR/blobs/blob19/u,-0.18212825059890747
/SOL_MUR/blobs/blob19/v,0
/SOL_MUR/blobs/blob2/id,0
/SOL_MUR/blobs/blob2/tx,-4
/SOL_MUR/blobs/blob2/ty,-3.125
/SOL_MUR/blobs/blob2/u,-0.18212825059890747
/SOL_MUR/blobs/blob2/v,0
/SOL_MUR/blobs/blob20/id,0
/SOL_MUR/blobs/blob20/tx,-4
/SOL_MUR/blobs/blob20/ty,-3.125
/SOL_MUR/blobs/blob20/u,-0.18212825059890747
/SOL_MUR/blobs/blob20/v,0
/SOL_MUR/blobs/blob21/id,0
/SOL_MUR/blobs/blob21/tx,-4
/SOL_MUR/blobs/blob21/ty,-3.125
/SOL_MUR/blobs/blob21/u,-0.18212825059890747
/SOL_MUR/blobs/blob21/v,0
/SOL_MUR/blobs/blob22/id,0
/SOL_MUR/blobs/blob22/tx,-4
/SOL_MUR/blobs/blob22/ty,-3.125
/SOL_MUR/blobs/blob22/u,-0.18212825059890747
/SOL_MUR/blobs/blob22/v,0
/SOL_MUR/blobs/blob23/id,0
/SOL_MUR/blobs/blob23/tx,-4
/SOL_MUR/blobs/blob23/ty,-3.125
/SOL_MUR/blobs/blob23/u,-0.18212825059890747
/SOL_MUR/blobs/blob23/v,0
/SOL_MUR/blobs/blob24/id,0
/SOL_MUR/blobs/blob24/tx,-4
/SOL_MUR/blobs/blob24/ty,-3.125
/SOL_MUR/blobs/blob24/u,-0.18212825059890747
/SOL_MUR/blobs/blob24/v,0
